A112109 - Number of Workers in household (6) (Households),,,
Current date: 11/15/2022 12:36:46 PM (Eastern Standard Time),,,
RESIDENCE,Number of Workers in Household 6,Output,Households
"TAZ 00000030, Honolulu County, Hawaii",0 workers,Margin of Error,50
"TAZ 00000030, Honolulu County, Hawaii",1 worker,Estimate,65
"TAZ 00000030, Honolulu County, Hawaii",1 worker,Margin of Error,39
"TAZ 00000030, Honolulu County, Hawaii",2 workers,Estimate,90
"TAZ 00000030, Honolulu County, Hawaii",2 workers,Margin of Error,39
"TAZ 00000030, Honolulu County, Hawaii",3 workers,Estimate,4
"TAZ 00000030, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000030, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000030, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000031, Honolulu County, Hawaii","Total, number of workers in household",Estimate,350
"TAZ 00000031, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,62
"TAZ 00000031, Honolulu County, Hawaii",0 workers,Estimate,100
"TAZ 00000031, Honolulu County, Hawaii",0 workers,Margin of Error,38
"TAZ 00000031, Honolulu County, Hawaii",1 worker,Estimate,75
"TAZ 00000031, Honolulu County, Hawaii",1 worker,Margin of Error,44
"TAZ 00000031, Honolulu County, Hawaii",2 workers,Estimate,105
"TAZ 00000031, Honolulu County, Hawaii",2 workers,Margin of Error,43
"TAZ 00000031, Honolulu County, Hawaii",3 workers,Estimate,50
"TAZ 00000031, Honolulu County, Hawaii",3 workers,Margin of Error,42
"TAZ 00000031, Honolulu County, Hawaii",4-or-more workers,Estimate,20
"TAZ 00000031, Honolulu County, Hawaii",4-or-more workers,Margin of Error,24
"TAZ 00000032, Honolulu County, Hawaii","Total, number of workers in household",Estimate,525
"TAZ 00000032, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,81
"TAZ 00000032, Honolulu County, Hawaii",0 workers,Estimate,130
"TAZ 00000032, Honolulu County, Hawaii",0 workers,Margin of Error,44
"TAZ 00000032, Honolulu County, Hawaii",1 worker,Estimate,130
"TAZ 00000032, Honolulu County, Hawaii",1 worker,Margin of Error,57
"TAZ 00000032, Honolulu County, Hawaii",2 workers,Estimate,200
"TAZ 00000032, Honolulu County, Hawaii",2 workers,Margin of Error,55
"TAZ 00000032, Honolulu County, Hawaii",3 workers,Estimate,70
"TAZ 00000032, Honolulu County, Hawaii",3 workers,Margin of Error,33
"TAZ 00000032, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000032, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000033, Honolulu County, Hawaii","Total, number of workers in household",Estimate,50
"TAZ 00000033, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,25
"TAZ 00000033, Honolulu County, Hawaii",0 workers,Estimate,10
"TAZ 00000033, Honolulu County, Hawaii",0 workers,Margin of Error,13
"TAZ 00000033, Honolulu County, Hawaii",1 worker,Estimate,0
"TAZ 00000033, Honolulu County, Hawaii",1 worker,Margin of Error,11
"TAZ 00000033, Honolulu County, Hawaii",2 workers,Estimate,30
"TAZ 00000033, Honolulu County, Hawaii",2 workers,Margin of Error,27
"TAZ 00000033, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000033, Honolulu County, Hawaii",3 workers,Margin of Error,13
"TAZ 00000033, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000033, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000034, Honolulu County, Hawaii","Total, number of workers in household",Estimate,180
"TAZ 00000034, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,41
"TAZ 00000034, Honolulu County, Hawaii",0 workers,Estimate,45
"TAZ 00000034, Honolulu County, Hawaii",0 workers,Margin of Error,28
"TAZ 00000034, Honolulu County, Hawaii",1 worker,Estimate,50
"TAZ 00000034, Honolulu County, Hawaii",1 worker,Margin of Error,29
"TAZ 00000034, Honolulu County, Hawaii",2 workers,Estimate,75
"TAZ 00000034, Honolulu County, Hawaii",2 workers,Margin of Error,44
"TAZ 00000034, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000034, Honolulu County, Hawaii",3 workers,Margin of Error,13
"TAZ 00000034, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000034, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000035, Honolulu County, Hawaii","Total, number of workers in household",Estimate,380
"TAZ 00000035, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,61
"TAZ 00000035, Honolulu County, Hawaii",0 workers,Estimate,105
"TAZ 00000035, Honolulu County, Hawaii",0 workers,Margin of Error,50
"TAZ 00000035, Honolulu County, Hawaii",1 worker,Estimate,145
"TAZ 00000035, Honolulu County, Hawaii",1 worker,Margin of Error,56
"TAZ 00000035, Honolulu County, Hawaii",2 workers,Estimate,85
"TAZ 00000035, Honolulu County, Hawaii",2 workers,Margin of Error,37
"TAZ 00000035, Honolulu County, Hawaii",3 workers,Estimate,25
"TAZ 00000035, Honolulu County, Hawaii",3 workers,Margin of Error,25
"TAZ 00000035, Honolulu County, Hawaii",4-or-more workers,Estimate,25
"TAZ 00000035, Honolulu County, Hawaii",4-or-more workers,Margin of Error,29
"TAZ 00000036, Honolulu County, Hawaii","Total, number of workers in household",Estimate,380
"TAZ 00000036, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,68
"TAZ 00000036, Honolulu County, Hawaii",0 workers,Estimate,75
"TAZ 00000036, Honolulu County, Hawaii",0 workers,Margin of Error,47
"TAZ 00000036, Honolulu County, Hawaii",1 worker,Estimate,100
"TAZ 00000036, Honolulu County, Hawaii",1 worker,Margin of Error,44
"TAZ 00000036, Honolulu County, Hawaii",2 workers,Estimate,160
"TAZ 00000036, Honolulu County, Hawaii",2 workers,Margin of Error,75
"TAZ 00000036, Honolulu County, Hawaii",3 workers,Estimate,30
"TAZ 00000036, Honolulu County, Hawaii",3 workers,Margin of Error,28
"TAZ 00000036, Honolulu County, Hawaii",4-or-more workers,Estimate,20
"TAZ 00000036, Honolulu County, Hawaii",4-or-more workers,Margin of Error,23
"TAZ 00000037, Honolulu County, Hawaii","Total, number of workers in household",Estimate,325
"TAZ 00000037, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,69
"TAZ 00000037, Honolulu County, Hawaii",0 workers,Estimate,90
"TAZ 00000037, Honolulu County, Hawaii",0 workers,Margin of Error,54
"TAZ 00000037, Honolulu County, Hawaii",1 worker,Estimate,20
"TAZ 00000037, Honolulu County, Hawaii",1 worker,Margin of Error,23
"TAZ 00000037, Honolulu County, Hawaii",2 workers,Estimate,130
"TAZ 00000037, Honolulu County, Hawaii",2 workers,Margin of Error,74
"TAZ 00000037, Honolulu County, Hawaii",3 workers,Estimate,90
"TAZ 00000037, Honolulu County, Hawaii",3 workers,Margin of Error,48
"TAZ 00000037, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000037, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000038, Honolulu County, Hawaii","Total, number of workers in household",Estimate,160
"TAZ 00000038, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,44
"TAZ 00000038, Honolulu County, Hawaii",0 workers,Estimate,20
"TAZ 00000038, Honolulu County, Hawaii",0 workers,Margin of Error,22
"TAZ 00000038, Honolulu County, Hawaii",1 worker,Estimate,85
"TAZ 00000038, Honolulu County, Hawaii",1 worker,Margin of Error,34
"TAZ 00000038, Honolulu County, Hawaii",2 workers,Estimate,55
"TAZ 00000038, Honolulu County, Hawaii",2 workers,Margin of Error,50
"TAZ 00000038, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000038, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000038, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000038, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000039, Honolulu County, Hawaii","Total, number of workers in household",Estimate,95
"TAZ 00000039, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,43
"TAZ 00000039, Honolulu County, Hawaii",0 workers,Estimate,45
"TAZ 00000039, Honolulu County, Hawaii",0 workers,Margin of Error,33
"TAZ 00000039, Honolulu County, Hawaii",1 worker,Estimate,35
"TAZ 00000039, Honolulu County, Hawaii",1 worker,Margin of Error,29
"TAZ 00000039, Honolulu County, Hawaii",2 workers,Estimate,20
"TAZ 00000039, Honolulu County, Hawaii",2 workers,Margin of Error,22
"TAZ 00000039, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000039, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000039, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000039, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000040, Honolulu County, Hawaii","Total, number of workers in household",Estimate,195
"TAZ 00000040, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,66
"TAZ 00000040, Honolulu County, Hawaii",0 workers,Estimate,20
"TAZ 00000040, Honolulu County, Hawaii",0 workers,Margin of Error,19
"TAZ 00000040, Honolulu County, Hawaii",1 worker,Estimate,80
"TAZ 00000040, Honolulu County, Hawaii",1 worker,Margin of Error,60
"TAZ 00000040, Honolulu County, Hawaii",2 workers,Estimate,75
"TAZ 00000040, Honolulu County, Hawaii",2 workers,Margin of Error,59
"TAZ 00000040, Honolulu County, Hawaii",3 workers,Estimate,20
"TAZ 00000040, Honolulu County, Hawaii",3 workers,Margin of Error,26
"TAZ 00000040, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000040, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000041, Honolulu County, Hawaii","Total, number of workers in household",Estimate,75
"TAZ 00000041, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,35
"TAZ 00000041, Honolulu County, Hawaii",0 workers,Estimate,15
"TAZ 00000041, Honolulu County, Hawaii",0 workers,Margin of Error,13
"TAZ 00000041, Honolulu County, Hawaii",1 worker,Estimate,30
"TAZ 00000041, Honolulu County, Hawaii",1 worker,Margin of Error,29
"TAZ 00000041, Honolulu County, Hawaii",2 workers,Estimate,10
"TAZ 00000041, Honolulu County, Hawaii",2 workers,Margin of Error,14
"TAZ 00000041, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000041, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000041, Honolulu County, Hawaii",4-or-more workers,Estimate,25
"TAZ 00000041, Honolulu County, Hawaii",4-or-more workers,Margin of Error,32
"TAZ 00000042, Honolulu County, Hawaii","Total, number of workers in household",Estimate,970
"TAZ 00000042, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,63
"TAZ 00000042, Honolulu County, Hawaii",0 workers,Estimate,255
"TAZ 00000042, Honolulu County, Hawaii",0 workers,Margin of Error,76
"TAZ 00000042, Honolulu County, Hawaii",1 worker,Estimate,160
"TAZ 00000042, Honolulu County, Hawaii",1 worker,Margin of Error,61
"TAZ 00000042, Honolulu County, Hawaii",2 workers,Estimate,345
"TAZ 00000042, Honolulu County, Hawaii",2 workers,Margin of Error,81
"TAZ 00000042, Honolulu County, Hawaii",3 workers,Estimate,145
"TAZ 00000042, Honolulu County, Hawaii",3 workers,Margin of Error,65
"TAZ 00000042, Honolulu County, Hawaii",4-or-more workers,Estimate,60
"TAZ 00000042, Honolulu County, Hawaii",4-or-more workers,Margin of Error,44
"TAZ 00000043, Honolulu County, Hawaii","Total, number of workers in household",Estimate,245
"TAZ 00000043, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,58
"TAZ 00000043, Honolulu County, Hawaii",0 workers,Estimate,45
"TAZ 00000043, Honolulu County, Hawaii",0 workers,Margin of Error,34
"TAZ 00000043, Honolulu County, Hawaii",1 worker,Estimate,85
"TAZ 00000043, Honolulu County, Hawaii",1 worker,Margin of Error,33
"TAZ 00000043, Honolulu County, Hawaii",2 workers,Estimate,90
"TAZ 00000043, Honolulu County, Hawaii",2 workers,Margin of Error,51
"TAZ 00000043, Honolulu County, Hawaii",3 workers,Estimate,20
"TAZ 00000043, Honolulu County, Hawaii",3 workers,Margin of Error,21
"TAZ 00000043, Honolulu County, Hawaii",4-or-more workers,Estimate,4
"TAZ 00000043, Honolulu County, Hawaii",4-or-more workers,Margin of Error,8
"TAZ 00000044, Honolulu County, Hawaii","Total, number of workers in household",Estimate,145
"TAZ 00000044, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,43
"TAZ 00000044, Honolulu County, Hawaii",0 workers,Estimate,60
"TAZ 00000044, Honolulu County, Hawaii",0 workers,Margin of Error,33
"TAZ 00000044, Honolulu County, Hawaii",1 worker,Estimate,40
"TAZ 00000044, Honolulu County, Hawaii",1 worker,Margin of Error,31
"TAZ 00000044, Honolulu County, Hawaii",2 workers,Estimate,45
"TAZ 00000044, Honolulu County, Hawaii",2 workers,Margin of Error,30
"TAZ 00000044, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000044, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000044, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000044, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000045, Honolulu County, Hawaii","Total, number of workers in household",Estimate,845
"TAZ 00000045, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,47
"TAZ 00000045, Honolulu County, Hawaii",0 workers,Estimate,240
"TAZ 00000045, Honolulu County, Hawaii",0 workers,Margin of Error,55
"TAZ 00000045, Honolulu County, Hawaii",1 worker,Estimate,270
"TAZ 00000045, Honolulu County, Hawaii",1 worker,Margin of Error,81
"TAZ 00000045, Honolulu County, Hawaii",2 workers,Estimate,275
"TAZ 00000045, Honolulu County, Hawaii",2 workers,Margin of Error,75
"TAZ 00000045, Honolulu County, Hawaii",3 workers,Estimate,45
"TAZ 00000045, Honolulu County, Hawaii",3 workers,Margin of Error,30
"TAZ 00000045, Honolulu County, Hawaii",4-or-more workers,Estimate,15
"TAZ 00000045, Honolulu County, Hawaii",4-or-more workers,Margin of Error,21
"TAZ 00000046, Honolulu County, Hawaii","Total, number of workers in household",Estimate,410
"TAZ 00000046, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,70
"TAZ 00000046, Honolulu County, Hawaii",0 workers,Estimate,115
"TAZ 00000046, Honolulu County, Hawaii",0 workers,Margin of Error,75
"TAZ 00000046, Honolulu County, Hawaii",1 worker,Estimate,185
"TAZ 00000046, Honolulu County, Hawaii",1 worker,Margin of Error,57
"TAZ 00000046, Honolulu County, Hawaii",2 workers,Estimate,80
"TAZ 00000046, Honolulu County, Hawaii",2 workers,Margin of Error,48
"TAZ 00000046, Honolulu County, Hawaii",3 workers,Estimate,20
"TAZ 00000046, Honolulu County, Hawaii",3 workers,Margin of Error,26
"TAZ 00000046, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000046, Honolulu County, Hawaii",4-or-more workers,Margin of Error,14
"TAZ 00000047, Honolulu County, Hawaii","Total, number of workers in household",Estimate,860
"TAZ 00000047, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,104
"TAZ 00000047, Honolulu County, Hawaii",0 workers,Estimate,445
"TAZ 00000047, Honolulu County, Hawaii",0 workers,Margin of Error,88
"TAZ 00000047, Honolulu County, Hawaii",1 worker,Estimate,175
"TAZ 00000047, Honolulu County, Hawaii",1 worker,Margin of Error,65
"TAZ 00000047, Honolulu County, Hawaii",2 workers,Estimate,230
"TAZ 00000047, Honolulu County, Hawaii",2 workers,Margin of Error,87
"TAZ 00000047, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000047, Honolulu County, Hawaii",3 workers,Margin of Error,18
"TAZ 00000047, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000047, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000048, Honolulu County, Hawaii","Total, number of workers in household",Estimate,400
"TAZ 00000048, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,65
"TAZ 00000048, Honolulu County, Hawaii",0 workers,Estimate,120
"TAZ 00000048, Honolulu County, Hawaii",0 workers,Margin of Error,62
"TAZ 00000048, Honolulu County, Hawaii",1 worker,Estimate,60
"TAZ 00000048, Honolulu County, Hawaii",1 worker,Margin of Error,34
"TAZ 00000048, Honolulu County, Hawaii",2 workers,Estimate,180
"TAZ 00000048, Honolulu County, Hawaii",2 workers,Margin of Error,58
"TAZ 00000048, Honolulu County, Hawaii",3 workers,Estimate,20
"TAZ 00000048, Honolulu County, Hawaii",3 workers,Margin of Error,22
"TAZ 00000048, Honolulu County, Hawaii",4-or-more workers,Estimate,20
"TAZ 00000048, Honolulu County, Hawaii",4-or-more workers,Margin of Error,32
"TAZ 00000049, Honolulu County, Hawaii","Total, number of workers in household",Estimate,580
"TAZ 00000049, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,71
"TAZ 00000049, Honolulu County, Hawaii",0 workers,Estimate,115
"TAZ 00000049, Honolulu County, Hawaii",0 workers,Margin of Error,45
"TAZ 00000049, Honolulu County, Hawaii",1 worker,Estimate,100
"TAZ 00000049, Honolulu County, Hawaii",1 worker,Margin of Error,47
"TAZ 00000049, Honolulu County, Hawaii",2 workers,Estimate,250
"TAZ 00000049, Honolulu County, Hawaii",2 workers,Margin of Error,90
"TAZ 00000049, Honolulu County, Hawaii",3 workers,Estimate,110
"TAZ 00000049, Honolulu County, Hawaii",3 workers,Margin of Error,68
"TAZ 00000049, Honolulu County, Hawaii",4-or-more workers,Estimate,10
"TAZ 00000049, Honolulu County, Hawaii",4-or-more workers,Margin of Error,16
"TAZ 00000050, Honolulu County, Hawaii","Total, number of workers in household",Estimate,165
"TAZ 00000050, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,40
"TAZ 00000050, Honolulu County, Hawaii",0 workers,Estimate,25
"TAZ 00000050, Honolulu County, Hawaii",0 workers,Margin of Error,21
"TAZ 00000050, Honolulu County, Hawaii",1 worker,Estimate,55
"TAZ 00000050, Honolulu County, Hawaii",1 worker,Margin of Error,29
"TAZ 00000050, Honolulu County, Hawaii",2 workers,Estimate,55
"TAZ 00000050, Honolulu County, Hawaii",2 workers,Margin of Error,33
"TAZ 00000050, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000050, Honolulu County, Hawaii",3 workers,Margin of Error,16
"TAZ 00000050, Honolulu County, Hawaii",4-or-more workers,Estimate,15
"TAZ 00000050, Honolulu County, Hawaii",4-or-more workers,Margin of Error,18
"TAZ 00000051, Honolulu County, Hawaii","Total, number of workers in household",Estimate,50
"TAZ 00000051, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,37
"TAZ 00000051, Honolulu County, Hawaii",0 workers,Estimate,0
"TAZ 00000051, Honolulu County, Hawaii",0 workers,Margin of Error,11
"TAZ 00000051, Honolulu County, Hawaii",1 worker,Estimate,35
"TAZ 00000051, Honolulu County, Hawaii",1 worker,Margin of Error,29
"TAZ 00000051, Honolulu County, Hawaii",2 workers,Estimate,0
"TAZ 00000051, Honolulu County, Hawaii",2 workers,Margin of Error,11
"TAZ 00000051, Honolulu County, Hawaii",3 workers,Estimate,10
"TAZ 00000051, Honolulu County, Hawaii",3 workers,Margin of Error,23
"TAZ 00000051, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000051, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000052, Honolulu County, Hawaii","Total, number of workers in household",Estimate,270
"TAZ 00000052, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,76
